DRG Definition,Provider State,Total Discharges,Average Covered Charges,Average Total Payments,Average Medicare Payments
202 - BRONCHITIS & ASTHMA W CC/MCC,TN,980,19202.51327,5267.854082,3984.396939
202 - BRONCHITIS & ASTHMA W CC/MCC,MD,1064,8437.87782,8638.654135,6780.097744
202 - BRONCHITIS & ASTHMA W CC/MCC,AL,1144,20980.24301,5360.506993,3887.600524
202 - BRONCHITIS & ASTHMA W CC/MCC,MA,1253,12715.49002,7596.142857,6349.402235
202 - BRONCHITIS & ASTHMA W CC/MCC,GA,1287,20445.58353,5673.336441,4320.553225
202 - BRONCHITIS & ASTHMA W CC/MCC,VA,1321,19304.87055,5796.925057,4340.915973
202 - BRONCHITIS & ASTHMA W CC/MCC,NC,1394,16461.99354,5985.809182,4448.216643
202 - BRONCHITIS & ASTHMA W CC/MCC,MI,1579,15931.35909,6407.644079,4926.687777
202 - BRONCHITIS & ASTHMA W CC/MCC,NJ,1582,49656.38116,6823.949431,5231.5
202 - BRONCHITIS & ASTHMA W CC/MCC,OH,1623,17311.89895,6071.025262,4356.94886
202 - BRONCHITIS & ASTHMA W CC/MCC,IL,2046,23990.94477,6265.524927,4901.060606
202 - BRONCHITIS & ASTHMA W CC/MCC,PA,2358,30142.76124,6092.685327,4404.330789
202 - BRONCHITIS & ASTHMA W CC/MCC,NY,2532,24678.6955,8426.0391,6831.011453
202 - BRONCHITIS & ASTHMA W CC/MCC,CA,2730,47065.21575,7999.50989,6578.120147
202 - BRONCHITIS & ASTHMA W CC/MCC,TX,3115,30282.02632,6080.321027,4528.774318
202 - BRONCHITIS & ASTHMA W CC/MCC,FL,3288,31357.07968,5712.920925,4389.720195
207 - RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT 96+ HOURS,WY,13,130362.3077,53607.46154,52707.53846
207 - RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT 96+ HOURS,AK,33,217997.0303,71486.06061,51467.27273
207 - RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT 96+ HOURS,SD,39,122616.3077,36758.89744,35329.02564
207 - RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT 96+ HOURS,VT,44,103246.9773,54837.29545,46115.40909
207 - RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT 96+ HOURS,HI,58,142859.8276,58353.82759,50531.94828
207 - RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT 96+ HOURS,ID,64,120178.1719,43398.5,40953.78125
207 - RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT 96+ HOURS,MT,64,109556.5781,39246.1875,36105.1875
207 - RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT 96+ HOURS,UT,68,105401.7941,37407.02941,33533.05882
207 - RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT 96+ HOURS,RI,81,112466.4321,44824.07407,41735.28395
207 - RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT 96+ HOURS,ND,82,103311.9024,37259.03659,35386.62195
207 - RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT 96+ HOURS,NH,108,126691.7778,43477.58333,41073.85185
207 - RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT 96+ HOURS,OR,108,130508.9352,45318.87037,41556.82407
207 - RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT 96+ HOURS,DC,116,177278.0603,54021.35345,46818.98276
207 - RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT 96+ HOURS,ME,117,102278.3846,39594.30769,37032.37607
207 - RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT 96+ HOURS,NM,125,145388.64,40949.272,36944.104
207 - RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT 96+ HOURS,DE,132,97689.12879,41506.95455,37230.91667
207 - RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT 96+ HOURS,NE,137,121725.0073,37451.14599,34758.86861
207 - RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT 96+ HOURS,KS,207,153012.9614,36852.24638,34030.42029
207 - RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT 96+ HOURS,CO,215,177524.5116,40864.01395,36367.30233
207 - RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT 96+ HOURS,IA,223,109168.0762,35975.67713,32787.12556
207 - RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT 96+ HOURS,WI,272,114520.5551,39950.69485,35786.94118
207 - RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT 96+ HOURS,MN,305,150577.6164,48219.85574,43124.49836
207 - RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT 96+ HOURS,WV,321,83727.31153,35289.73209,32397.86604
207 - RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT 96+ HOURS,WA,365,157843.1699,44198.36712,40506.80822
207 - RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT 96+ HOURS,AR,379,103042.4406,32721.31135,29934.49868
207 - RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT 96+ HOURS,NV,384,246365.5651,38604.10677,35719.8099
207 - RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT 96+ HOURS,CT,393,137623.9669,47692.30534,43164.01018
207 - RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT 96+ HOURS,AZ,412,161224.4272,40235.99029,36265.14563
207 - RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT 96+ HOURS,MS,460,122932.6891,34088.66087,31475.99783
207 - RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT 96+ HOURS,OK,528,125312.8636,34121.50947,31050.46023
207 - RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT 96+ HOURS,SC,550,156604.1036,38990.67818,33752.51091
207 - RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT 96+ HOURS,LA,637,139720.6578,34605.21507,32020.61538
207 - RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT 96+ HOURS,MO,675,127263.2696,37248.07407,34700.7763
207 - RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT 96+ HOURS,MA,678,91070.04425,47703.49115,44370.62389
207 - RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT 96+ HOURS,MD,695,51809.97122,48388.43741,45479.16259
207 - RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT 96+ HOURS,KY,726,105198.6006,35217.77961,31956.81543
207 - RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT 96+ HOURS,AL,729,151600.8217,31859.63649,30287.12346
207 - RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT 96+ HOURS,VA,730,127622.7712,38134.90411,33505.61096
207 - RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT 96+ HOURS,IN,908,111021.7302,35916.86123,32396.84361
207 - RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT 96+ HOURS,TN,916,120978.4596,33065.77948,30133.42467
207 - RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT 96+ HOURS,GA,1035,131442.4705,37003.543,34052.6
207 - RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT 96+ HOURS,MI,1090,104131.5385,40566.87798,36654.92569
207 - RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT 96+ HOURS,NJ,1145,231503.9703,41210.98253,37590.85328
207 - RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT 96+ HOURS,NC,1217,100111.6771,37125.42235,33164.50616
207 - RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT 96+ HOURS,IL,1257,142080.9753,39380.52188,35694.15831
207 - RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT 96+ HOURS,PA,1310,175985.0397,38803.21756,33148.21756
207 - RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT 96+ HOURS,OH,1441,120424.2859,36679.44969,32227.30812
207 - RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT 96+ HOURS,NY,2099,125216.3235,52005.05193,47216.80562
207 - RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT 96+ HOURS,FL,2335,173347.1559,36824.23897,33827.68865
207 - RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT 96+ HOURS,TX,2426,167475.5758,36921.20734,33113.21063
207 - RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT 96+ HOURS,CA,2645,280592.7989,52305.04423,49697.7051
208 - RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT <96 HOURS,AK,75,94515.12,25734.01333,23507.34667
208 - RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT <96 HOURS,WY,93,49639.8172,20570.39785,18109.2043
208 - RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT <96 HOURS,VT,120,37344.45,20490.375,18463.59167
208 - RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT <96 HOURS,DC,152,76197.18421,22324.23026,19278.76316
208 - RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT <96 HOURS,ND,165,43083.29697,15607.59394,14220.17576
208 - RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT <96 HOURS,HI,186,63436.46774,23248.5,20299.21505
208 - RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT <96 HOURS,MT,193,48778.80311,15479.87565,14175.84456
208 - RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT <96 HOURS,RI,194,61784.28351,20529.82474,17885.89691
208 - RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT <96 HOURS,ID,197,54378.20305,17108.51777,15525.69543
208 - RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT <96 HOURS,SD,208,55014.91827,16684.92788,14897.63942
208 - RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT <96 HOURS,UT,224,41580.50446,16384.3125,13520.875
208 - RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT <96 HOURS,NH,247,58926.47773,18681.98785,16075.56275
208 - RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT <96 HOURS,DE,299,50210.53512,18644.30435,16214.16388
208 - RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT <96 HOURS,NM,300,60820.18667,17022.76667,15654.7
208 - RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT <96 HOURS,ME,311,44967.23794,16751.52733,14893.53698
208 - RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT <96 HOURS,NE,407,62874.76904,17495.83292,15503.88452
208 - RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT <96 HOURS,OR,418,58894.73923,19147.58134,16849.64833
208 - RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT <96 HOURS,CO,592,78585.72297,16389.53041,14783.41892
208 - RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT <96 HOURS,KS,625,66587.6576,15533.7312,13870.6672
208 - RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT <96 HOURS,NV,712,115948.3638,17344.92837,15251.72331
208 - RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT <96 HOURS,IA,770,50718.82208,15635.86234,14051.07273
208 - RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT <96 HOURS,WV,798,39948.26692,15624.95614,13581.77318
208 - RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT <96 HOURS,WI,826,52145.75787,17044.22155,14635.21792
208 - RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT <96 HOURS,MN,834,56647.84892,18894.53837,16417.93525
208 - RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT <96 HOURS,CT,856,66406.95794,20882.53037,18799.04907
208 - RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT <96 HOURS,AR,975,46596.33641,13915.46154,12783.32205
208 - RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT <96 HOURS,AZ,1032,73885.81008,17115.45349,15374.99419
208 - RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT <96 HOURS,MS,1136,60394.93046,15129.3213,13989.4463
208 - RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT <96 HOURS,OK,1259,56316.60048,14911.139,13246.61636
208 - RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT <96 HOURS,SC,1303,69626.49424,15789.33078,13965.37759
208 - RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT <96 HOURS,LA,1340,58992.87463,14776.78582,13376.13955
208 - RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT <96 HOURS,WA,1362,67225.09618,18675.04479,16493.37298
208 - RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT <96 HOURS,AL,1396,61938.28653,13572.80587,12247.85602
208 - RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT <96 HOURS,MD,1426,22520.96564,21011.53366,19903.91795
208 - RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT <96 HOURS,MA,1453,40492.82519,20331.1989,18580.52099
208 - RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT <96 HOURS,VA,1794,57698.76923,16112.33835,13936.77759
208 - RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT <96 HOURS,MO,1918,59005.61835,15694.817,14307.03441
208 - RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT <96 HOURS,KY,1988,49913.74044,15326.81388,13665.07596
208 - RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT <96 HOURS,GA,2123,55985.24023,15166.43429,13856.07348
208 - RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT <96 HOURS,IN,2177,51430.99449,15566.27607,13783.09554
208 - RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT <96 HOURS,TN,2181,56588.36039,14088.99037,12809.95965
208 - RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT <96 HOURS,NJ,2425,116742.8561,18126.16454,16258.74557
208 - RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT <96 HOURS,NC,2990,47188.86522,16012.61639,13989.41271
208 - RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT <96 HOURS,PA,2993,79765.92817,16671.37087,14056.08286
208 - RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT <96 HOURS,MI,3076,45359.51463,17080.26008,15462.71944
208 - RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT <96 HOURS,IL,3139,69530.53648,17217.06563,15042.46575
208 - RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT <96 HOURS,OH,3411,53885.72032,15680.89035,13586.02199
208 - RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT <96 HOURS,NY,3495,59684.80057,22000.41001,19701.82403
208 - RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT <96 HOURS,CA,4789,128573.4322,22350.06452,20862.92817
208 - RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT <96 HOURS,FL,5327,79844.56204,15226.52262,13692.60034
208 - RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT <96 HOURS,TX,5440,77994.51011,16064.82996,14246.93585
238 - MAJOR CARDIOVASC PROCEDURES W/O MCC,VT,45,55575.95556,28930.37778,24309.11111
238 - MAJOR CARDIOVASC PROCEDURES W/O MCC,AK,46,135180.0435,34372.28261,27791.30435
238 - MAJOR CARDIOVASC PROCEDURES W/O MCC,WY,59,86450.01695,27789.74576,25291.98305
238 - MAJOR CARDIOVASC PROCEDURES W/O MCC,HI,61,87040.80328,33911.37705,26483.7541
238 - MAJOR CARDIOVASC PROCEDURES W/O MCC,RI,95,89575.95789,27809.86316,25506.23158
238 - MAJOR CARDIOVASC PROCEDURES W/O MCC,NM,129,88819.68217,22910.36434,19993.72868
238 - MAJOR CARDIOVASC PROCEDURES W/O MCC,DC,137,100055.9416,29417.16788,25833.79562
238 - MAJOR CARDIOVASC PROCEDURES W/O MCC,MT,139,67725.86331,22597.45324,19743.05755
238 - MAJOR CARDIOVASC PROCEDURES W/O MCC,ID,142,71059.42958,23298.76056,21182.29577
238 - MAJOR CARDIOVASC PROCEDURES W/O MCC,DE,153,72795.62092,25721.98693,21952.96732
238 - MAJOR CARDIOVASC PROCEDURES W/O MCC,UT,158,80322.05696,24991.24684,20560.15823
238 - MAJOR CARDIOVASC PROCEDURES W/O MCC,ND,190,63236.99474,21080.18947,19355.95263
238 - MAJOR CARDIOVASC PROCEDURES W/O MCC,ME,208,57398.80769,22781.04327,20865.83173
238 - MAJOR CARDIOVASC PROCEDURES W/O MCC,NV,253,123413.0751,24093.41502,21308.67984
238 - MAJOR CARDIOVASC PROCEDURES W/O MCC,SD,256,96018.04688,22527.70703,19971.79297
238 - MAJOR CARDIOVASC PROCEDURES W/O MCC,NH,273,77576.68498,26735.21245,24583.12454
238 - MAJOR CARDIOVASC PROCEDURES W/O MCC,OR,313,75349.74121,25407.07348,21629.85942
238 - MAJOR CARDIOVASC PROCEDURES W/O MCC,NE,321,70655.29595,22204.9595,19480.73832
238 - MAJOR CARDIOVASC PROCEDURES W/O MCC,WV,328,61574.94817,21205.04573,19489.99085
238 - MAJOR CARDIOVASC PROCEDURES W/O MCC,CO,360,124797.9389,25230.40833,21613.11667
238 - MAJOR CARDIOVASC PROCEDURES W/O MCC,IA,379,73947.40369,22077.54617,19862.32454
238 - MAJOR CARDIOVASC PROCEDURES W/O MCC,MS,441,77599.87075,20713.66667,18230.20181
238 - MAJOR CARDIOVASC PROCEDURES W/O MCC,KS,459,83777.89325,20089.23529,18357.1634
238 - MAJOR CARDIOVASC PROCEDURES W/O MCC,CT,467,79392.79872,29056.69807,25714.74518
238 - MAJOR CARDIOVASC PROCEDURES W/O MCC,AR,473,74433.50951,19383.8055,17663.96195
238 - MAJOR CARDIOVASC PROCEDURES W/O MCC,OK,497,83203.9497,20430.63783,18203.1328
238 - MAJOR CARDIOVASC PROCEDURES W/O MCC,LA,584,91430.66952,21569.35616,18870.65068
238 - MAJOR CARDIOVASC PROCEDURES W/O MCC,SC,592,111382.9797,22607.32432,19798.14865
238 - MAJOR CARDIOVASC PROCEDURES W/O MCC,WA,645,111462.7922,28137.30853,24025.89922
238 - MAJOR CARDIOVASC PROCEDURES W/O MCC,WI,678,76931.46313,24011.5236,21151.33923
238 - MAJOR CARDIOVASC PROCEDURES W/O MCC,MN,689,78324.22206,25733.52975,22118.51089
238 - MAJOR CARDIOVASC PROCEDURES W/O MCC,KY,721,77992.46602,21784.10264,19272.55062
238 - MAJOR CARDIOVASC PROCEDURES W/O MCC,MD,759,35669.66008,33245.40843,30936.58235
238 - MAJOR CARDIOVASC PROCEDURES W/O MCC,AZ,763,101556.7182,23359.27261,21089.5557
238 - MAJOR CARDIOVASC PROCEDURES W/O MCC,MA,817,72206.76132,30480.56304,28203.36475
238 - MAJOR CARDIOVASC PROCEDURES W/O MCC,AL,855,87998.74737,18840.25731,17196.94854
238 - MAJOR CARDIOVASC PROCEDURES W/O MCC,TN,949,84017.32561,20326.37197,17861.55532
238 - MAJOR CARDIOVASC PROCEDURES W/O MCC,VA,1006,97637.88767,23942.35487,20639.27336
238 - MAJOR CARDIOVASC PROCEDURES W/O MCC,IN,1019,87540.67517,22616.3788,19224.6948
238 - MAJOR CARDIOVASC PROCEDURES W/O MCC,MO,1020,79313.31765,21152.61961,18844.90294
238 - MAJOR CARDIOVASC PROCEDURES W/O MCC,NJ,1027,117107.0243,24234.83447,21654.52775
238 - MAJOR CARDIOVASC PROCEDURES W/O MCC,GA,1088,84022.16912,22017.57904,19066.01746
238 - MAJOR CARDIOVASC PROCEDURES W/O MCC,NC,1224,81674.85131,23836.85049,20801.17484
238 - MAJOR CARDIOVASC PROCEDURES W/O MCC,MI,1321,68688.22256,23909.18698,21777.21499
238 - MAJOR CARDIOVASC PROCEDURES W/O MCC,PA,1427,112982.8781,23293.60897,19985.78556
238 - MAJOR CARDIOVASC PROCEDURES W/O MCC,OH,1473,91180.42498,23537.01018,19210.80244
238 - MAJOR CARDIOVASC PROCEDURES W/O MCC,IL,1659,98049.912,23367.86136,20293.33755
238 - MAJOR CARDIOVASC PROCEDURES W/O MCC,NY,1870,76400.04706,28756.54011,24850.28182
238 - MAJOR CARDIOVASC PROCEDURES W/O MCC,CA,2053,157509.0623,30303.34048,27672.87336
238 - MAJOR CARDIOVASC PROCEDURES W/O MCC,TX,2447,107809.15,23074.94401,19776.03351
238 - MAJOR CARDIOVASC PROCEDURES W/O MCC,FL,2912,118169.1229,21269.38599,18858.88221
243 - PERMANENT CARDIAC PACEMAKER IMPLANT W CC,AK,33,104727.697,25636.0303,24577.90909
243 - PERMANENT CARDIAC PACEMAKER IMPLANT W CC,WY,34,58863.85294,19963.94118,19099.08824
243 - PERMANENT CARDIAC PACEMAKER IMPLANT W CC,VT,53,51486.24528,23793.18868,19763.49057
243 - PERMANENT CARDIAC PACEMAKER IMPLANT W CC,DC,57,71887.49123,22517.7193,20619.22807
243 - PERMANENT CARDIAC PACEMAKER IMPLANT W CC,RI,58,64552.44828,20495.55172,19166.87931
243 - PERMANENT CARDIAC PACEMAKER IMPLANT W CC,HI,70,50170.74286,24357.81429,20171.55714
243 - PERMANENT CARDIAC PACEMAKER IMPLANT W CC,MT,72,50426.88889,16613.55556,15649.375
243 - PERMANENT CARDIAC PACEMAKER IMPLANT W CC,ID,81,48502.07407,17422.76543,15966.1358
243 - PERMANENT CARDIAC PACEMAKER IMPLANT W CC,NM,82,83546.42683,18656.30488,17342.5122
243 - PERMANENT CARDIAC PACEMAKER IMPLANT W CC,SD,104,47312.24038,18975.31731,16060.05769
243 - PERMANENT CARDIAC PACEMAKER IMPLANT W CC,DE,123,51036.11382,20151.35772,18194.73984
243 - PERMANENT CARDIAC PACEMAKER IMPLANT W CC,ND,131,42202.77863,16548.53435,15418.00763
243 - PERMANENT CARDIAC PACEMAKER IMPLANT W CC,UT,144,49342.90278,16736.48611,15340.82639
243 - PERMANENT CARDIAC PACEMAKER IMPLANT W CC,NH,158,54614.58861,18974.87342,17117.78481
243 - PERMANENT CARDIAC PACEMAKER IMPLANT W CC,ME,177,53221.54237,18906.42373,17284.31638
243 - PERMANENT CARDIAC PACEMAKER IMPLANT W CC,NV,184,114096.7772,18762.28804,17102.24457
243 - PERMANENT CARDIAC PACEMAKER IMPLANT W CC,OR,247,46098.77733,19190.34008,17573.22267
243 - PERMANENT CARDIAC PACEMAKER IMPLANT W CC,NE,254,50592.02756,17338.82283,15694.12598
243 - PERMANENT CARDIAC PACEMAKER IMPLANT W CC,MS,267,72733,16141.62172,15050.77154
243 - PERMANENT CARDIAC PACEMAKER IMPLANT W CC,CO,279,79784.40143,17790.83154,15929.3405
243 - PERMANENT CARDIAC PACEMAKER IMPLANT W CC,WV,280,44598.46786,16792.47857,15159.18214
243 - PERMANENT CARDIAC PACEMAKER IMPLANT W CC,IA,309,51316.57605,16239.11003,14906.36246
243 - PERMANENT CARDIAC PACEMAKER IMPLANT W CC,LA,329,68533.25836,16003.89362,14446.93313
243 - PERMANENT CARDIAC PACEMAKER IMPLANT W CC,KS,334,63542.05988,16544.07186,14732.4491
243 - PERMANENT CARDIAC PACEMAKER IMPLANT W CC,AR,354,65184.60452,15506.44915,14213.00282
243 - PERMANENT CARDIAC PACEMAKER IMPLANT W CC,OK,395,76663.26835,16401.18228,14070.19241
243 - PERMANENT CARDIAC PACEMAKER IMPLANT W CC,WA,462,69771.57576,19336.84848,17833.04545
243 - PERMANENT CARDIAC PACEMAKER IMPLANT W CC,CT,464,61958.3319,22201.58836,20068.95905
243 - PERMANENT CARDIAC PACEMAKER IMPLANT W CC,KY,464,59712.37931,16670.64655,15409.09483
243 - PERMANENT CARDIAC PACEMAKER IMPLANT W CC,AL,478,72816.48745,15176.00418,13807.64017
243 - PERMANENT CARDIAC PACEMAKER IMPLANT W CC,WI,534,56004.31086,18120.51124,16262.65918
243 - PERMANENT CARDIAC PACEMAKER IMPLANT W CC,MD,550,26975.53818,25137.58909,23970.60909
243 - PERMANENT CARDIAC PACEMAKER IMPLANT W CC,SC,561,90388.26203,17403.09626,15491.40285
243 - PERMANENT CARDIAC PACEMAKER IMPLANT W CC,AZ,574,79525.65331,18469.96341,16568.83101
243 - PERMANENT CARDIAC PACEMAKER IMPLANT W CC,MN,652,56518.28374,19430.46933,17339.8635
243 - PERMANENT CARDIAC PACEMAKER IMPLANT W CC,GA,663,58501.00603,16719.3997,15308.62594
243 - PERMANENT CARDIAC PACEMAKER IMPLANT W CC,MO,668,62998.29192,16830.42814,15392.52246
243 - PERMANENT CARDIAC PACEMAKER IMPLANT W CC,TN,678,68390.72861,16318.90265,14322.5885
243 - PERMANENT CARDIAC PACEMAKER IMPLANT W CC,MA,725,45996.79862,22866.12552,21138.58069
243 - PERMANENT CARDIAC PACEMAKER IMPLANT W CC,IN,758,61454.2058,16531.68074,15171.75989
243 - PERMANENT CARDIAC PACEMAKER IMPLANT W CC,VA,778,64908.92545,17520.35476,15590.90746
243 - PERMANENT CARDIAC PACEMAKER IMPLANT W CC,NC,1024,60840.33301,18152.17578,16303.95117
243 - PERMANENT CARDIAC PACEMAKER IMPLANT W CC,MI,1158,54407.81606,18231.45164,16608.44732
243 - PERMANENT CARDIAC PACEMAKER IMPLANT W CC,OH,1169,58546.34731,17660.03336,15362.5586
243 - PERMANENT CARDIAC PACEMAKER IMPLANT W CC,NJ,1230,109633.6252,19213.48618,17696.47073
243 - PERMANENT CARDIAC PACEMAKER IMPLANT W CC,IL,1496,74841.48997,18694.37634,16282.55882
243 - PERMANENT CARDIAC PACEMAKER IMPLANT W CC,PA,1551,80244.10187,17460.65184,15539.47389
243 - PERMANENT CARDIAC PACEMAKER IMPLANT W CC,NY,1866,70766.597,22860.66774,20781.55681
243 - PERMANENT CARDIAC PACEMAKER IMPLANT W CC,TX,1921,88128.77147,17943.72827,15587.72566
243 - PERMANENT CARDIAC PACEMAKER IMPLANT W CC,FL,2271,86717.41788,16268.5808,14764.82343
243 - PERMANENT CARDIAC PACEMAKER IMPLANT W CC,CA,2308,114089.9068,22843.00043,21275.56282
244 - PERMANENT CARDIAC PACEMAKER IMPLANT W/O CC/MCC,WY,38,44165.92105,18427.76316,14130.65789
244 - PERMANENT CARDIAC PACEMAKER IMPLANT W/O CC/MCC,RI,39,49606.71795,16253,15012.07692
244 - PERMANENT CARDIAC PACEMAKER IMPLANT W/O CC/MCC,AK,41,78749.39024,22305.14634,20597.73171
244 - PERMANENT CARDIAC PACEMAKER IMPLANT W/O CC/MCC,VT,60,38160.38333,16598.33333,15207.28333
244 - PERMANENT CARDIAC PACEMAKER IMPLANT W/O CC/MCC,HI,65,42646.81538,18720.64615,15745.03077
